station_id,source_station_id,station_name,network,city,state,latitude,longitude,access_code,connector_types,port_count,site_power_kw,traffic_score,traffic_segment,station_age_years,parking_capacity_estimate
CF-ST-1517,1517,LADWP - Truesdale Center,SHELL_RECHARGE,Sun Valley,CA,34.248319,-118.387971,private,CHADEMO|J1772|J1772COMBO,59,413,75,high,1,65
CF-ST-1523,1523,Los Angeles Convention Center,Non-Networked,Los Angeles,CA,34.040539,-118.271387,public,J1772,8,88,50,medium,3,11
CF-ST-1525,1525,LADWP - John Ferraro Building,Non-Networked,Los Angeles,CA,34.059133,-118.248589,private,CHADEMO|J1772|J1772COMBO,394,59100,78,high,2,405
CF-ST-1531,1531,LADWP - Haynes Power Plant,Non-Networked,Long Beach,CA,33.759802,-118.096665,private,J1772,31,217,62,medium,1,34
CF-ST-1552,1552,LADWP - Harbor Generating Station,Non-Networked,Wilmington,CA,33.770508,-118.265628,private,J1772,12,132,48,low,9,23
CF-ST-1556,1556,LADWP - Sylmar West,Non-Networked,Sylmar,CA,34.30309,-118.480505,private,J1772,9,1350,36,low,4,21
CF-ST-1572,1572,LADWP - EV Service Center,Non-Networked,Los Angeles,CA,34.066801,-118.227605,private,CHADEMO|J1772,44,6600,79,high,7,49
CF-ST-1573,1573,LADWP - Fairfax Center,Non-Networked,Los Angeles,CA,34.036777,-118.368841,private,J1772,14,2100,63,medium,5,16
CF-ST-1589,1589,LADWP - Palmetto Center,Non-Networked,Los Angeles,CA,34.039736,-118.236065,private,CHADEMO|J1772|J1772COMBO,36,396,83,high,7,43
CF-ST-6355,6355,Scripps Green Hospital,Non-Networked,La Jolla,CA,32.89947,-117.243,public,J1772,1,11,52,medium,4,8
CF-ST-6405,6405,Galpin Motors,Non-Networked,Sepulveda,CA,34.221665,-118.468371,public,J1772,2,14,41,low,7,5
CF-ST-6425,6425,Galleria at Tyler,Non-Networked,Riverside,CA,33.909914,-117.459053,public,J1772,4,76,57,medium,5,6
CF-ST-6505,6505,City of Pasadena - Holly Street Garage,Non-Networked,Pasadena,CA,34.14762,-118.147111,public,J1772,26,1300,81,high,9,29
CF-ST-6506,6506,City of Pasadena - De Lacey Garage,Non-Networked,Pasadena,CA,34.145138,-118.152655,public,J1772,3,150,94,high,2,13
CF-ST-6507,6507,City of Pasadena - Schoolhouse Garage,Non-Networked,Pasadena,CA,34.145119,-118.150133,public,J1772,3,450,53,medium,6,14
CF-ST-7172,7172,Hyatt Regency Long Beach,Non-Networked,Long Beach,CA,33.7637,-118.192,public,J1772,1,7,47,low,1,13
CF-ST-7184,7184,Los Angeles International Airport (LAX) - Lot 6,Non-Networked,Los Angeles,CA,33.94325,-118.403342,public,J1772,20,380,49,low,2,25
CF-ST-7195,7195,Courtyard Marriott - Oxnard Ventura,Non-Networked,Oxnard,CA,34.228315,-119.170865,public,J1772,1,7,90,high,7,7
CF-ST-7196,7196,Hilton - Palm Springs,Non-Networked,Palm Springs,CA,33.824004,-116.543589,public,J1772,2,38,64,medium,3,9
CF-ST-7206,7206,Inland Empire Foods,Non-Networked,Riverside,CA,34.0189,-117.38,public,J1772|TESLA,4,44,57,medium,5,16
CF-ST-7212,7212,Sacramento International Airport - Daily A Lot,Non-Networked,Sacramento,CA,38.69005,-121.58889,public,J1772,4,28,76,high,3,14
CF-ST-7229,7229,City of Santa Monica - Airport,Non-Networked,Santa Monica,CA,34.017081,-118.44704,public,J1772,2,22,81,high,3,11
CF-ST-7230,7230,City of Santa Monica - Pier,Non-Networked,Santa Monica,CA,34.010021,-118.49583,public,J1772,3,57,59,medium,9,8
CF-ST-7242,7242,Universal City Hilton,Non-Networked,Universal City,CA,34.13722,-118.35835,public,J1772|NEMA520,11,209,78,high,1,16
CF-ST-7250,7250,Office Max - Home Depot,Non-Networked,Downey,CA,33.94756,-118.153806,public,J1772,4,28,87,high,6,12
CF-ST-7280,7280,Hyatt at Fisherman's Wharf,Non-Networked,San Francisco,CA,37.80619,-122.4152,public,J1772,1,7,52,medium,4,12
CF-ST-7286,7286,Arden Fair Mall,Non-Networked,Sacramento,CA,38.599693,-121.427045,public,J1772,4,76,91,high,4,16
