station_id,metric_date,state,session_count,total_energy_kwh,total_revenue_usd,avg_session_duration_minutes,avg_queue_minutes,queue_event_count,failure_event_count
CF-ST-1517,2026-02-14,CA,1,94.19,37.58,131.0,16.0,0,0
CF-ST-1517,2026-02-15,CA,1,57.29,21.43,95.0,2.0,0,0
CF-ST-1517,2026-02-18,CA,2,108.12,30.04,72.0,16.5,2,0
CF-ST-1517,2026-02-19,CA,2,55.34,19.91,50.0,0.0,0,0
CF-ST-1517,2026-02-20,CA,1,36.24,7.92,57.0,0.0,0,0
CF-ST-1517,2026-02-21,CA,1,103.27,21.53,125.0,0.0,0,0
CF-ST-1517,2026-02-23,CA,1,29.72,14.13,34.0,27.0,1,0
CF-ST-1517,2026-02-24,CA,1,33.61,15.23,76.0,0.0,0,0
CF-ST-1517,2026-02-25,CA,3,153.9,64.26,69.0,15.0,0,0
CF-ST-1517,2026-02-26,CA,1,67.17,14.63,118.0,0.0,0,0
CF-ST-1517,2026-02-27,CA,1,94.79,37.92,125.0,0.0,0,0
CF-ST-1517,2026-02-28,CA,2,161.49,43.18,98.5,22.5,1,0
CF-ST-1517,2026-03-01,CA,1,56.32,23.02,129.0,34.0,1,0
CF-ST-1517,2026-03-03,CA,1,35.17,12.47,38.0,7.0,0,0
CF-ST-1517,2026-03-06,CA,1,78.57,24.59,112.0,0.0,0,0
CF-ST-1517,2026-03-09,CA,1,108.38,51.79,129.0,0.0,0,0
CF-ST-1517,2026-03-11,CA,1,50.28,17.47,99.0,0.0,0,0
CF-ST-1517,2026-03-13,CA,1,75.06,21.19,83.0,11.0,1,0
CF-ST-1517,2026-03-14,CA,1,32.11,14.39,55.0,0.0,0,0
CF-ST-1517,2026-03-15,CA,2,143.0,32.86,101.0,17.0,2,0
CF-ST-1517,2026-03-16,CA,1,28.03,12.06,38.0,12.0,1,0
CF-ST-1517,2026-03-19,CA,2,42.27,12.74,32.5,0.0,0,0
CF-ST-1517,2026-03-24,CA,1,72.33,33.21,99.0,0.0,0,0
CF-ST-1517,2026-03-25,CA,2,105.78,42.4,95.0,2.0,0,0
CF-ST-1517,2026-03-29,CA,1,111.46,52.62,126.0,22.0,0,0
CF-ST-1517,2026-03-31,CA,1,73.81,30.01,108.0,4.0,0,0
CF-ST-1523,2026-02-13,CA,1,56.39,13.79,73.0,0.0,0,0
CF-ST-1523,2026-02-14,CA,1,31.03,13.1,37.0,2.0,1,0
CF-ST-1523,2026-02-15,CA,1,62.43,27.26,106.0,0.0,0,0
CF-ST-1523,2026-02-16,CA,1,37.84,18.13,84.0,12.0,1,0
CF-ST-1523,2026-02-17,CA,1,18.12,7.64,33.0,25.0,1,0
CF-ST-1523,2026-02-18,CA,1,25.45,11.79,59.0,0.0,0,0
CF-ST-1523,2026-02-22,CA,1,110.77,37.73,135.0,0.0,0,0
CF-ST-1523,2026-02-24,CA,1,38.84,14.94,101.0,9.0,0,0
CF-ST-1523,2026-02-25,CA,1,68.14,27.53,98.0,0.0,0,0
CF-ST-1523,2026-02-28,CA,1,97.29,36.88,114.0,33.0,1,0
CF-ST-1523,2026-03-02,CA,2,103.42,39.49,75.5,21.0,1,0
CF-ST-1523,2026-03-04,CA,1,59.93,15.34,71.0,12.0,1,0
CF-ST-1523,2026-03-08,CA,2,139.56,60.87,82.0,11.0,0,0
CF-ST-1523,2026-03-11,CA,2,49.53,14.42,27.5,8.0,0,0
CF-ST-1523,2026-03-12,CA,1,58.5,19.46,63.0,27.0,1,0
CF-ST-1523,2026-03-15,CA,2,134.34,32.58,78.5,17.0,2,0
CF-ST-1523,2026-03-16,CA,1,85.12,37.35,130.0,34.0,1,0
CF-ST-1523,2026-03-17,CA,2,148.83,59.41,113.5,0.0,0,0
CF-ST-1523,2026-03-18,CA,1,37.18,16.42,81.0,22.0,0,0
CF-ST-1523,2026-03-19,CA,1,81.75,26.46,126.0,2.0,0,0
CF-ST-1523,2026-03-20,CA,2,117.15,41.45,84.5,19.5,1,0
CF-ST-1523,2026-03-22,CA,3,81.12,30.8,61.0,3.33,0,0
CF-ST-1523,2026-03-23,CA,1,14.38,3.4,26.0,15.0,0,0
CF-ST-1523,2026-03-24,CA,1,36.37,13.63,98.0,0.0,0,0
CF-ST-1523,2026-03-25,CA,1,30.39,12.76,85.0,19.0,1,0
CF-ST-1523,2026-03-26,CA,2,83.86,33.07,82.5,6.0,1,0
CF-ST-1523,2026-03-29,CA,2,97.24,36.76,75.5,0.0,0,0
CF-ST-1523,2026-03-31,CA,1,17.29,5.26,20.0,0.0,0,0
CF-ST-1525,2026-02-14,CA,1,42.79,20.38,59.0,12.0,0,0
CF-ST-1525,2026-02-15,CA,1,49.51,11.52,128.0,0.0,0,0
CF-ST-1525,2026-02-16,CA,1,75.59,29.05,93.0,0.0,0,0
CF-ST-1525,2026-02-21,CA,1,51.6,13.02,99.0,22.0,1,0
CF-ST-1525,2026-02-22,CA,1,48.89,11.09,52.0,0.0,0,0
CF-ST-1525,2026-02-23,CA,2,85.52,33.13,55.5,13.0,1,0
CF-ST-1525,2026-02-24,CA,1,27.54,5.66,54.0,0.0,0,0
CF-ST-1525,2026-03-03,CA,1,77.23,25.23,121.0,0.0,0,0
CF-ST-1525,2026-03-05,CA,1,68.97,19.94,111.0,0.0,0,0
CF-ST-1525,2026-03-07,CA,1,55.94,16.21,129.0,9.0,1,0
CF-ST-1525,2026-03-08,CA,1,43.01,14.06,83.0,0.0,0,0
CF-ST-1525,2026-03-11,CA,1,102.31,28.12,129.0,0.0,0,0
CF-ST-1525,2026-03-13,CA,1,82.46,18.88,120.0,0.0,0,0
CF-ST-1525,2026-03-15,CA,1,22.83,8.61,61.0,0.0,0,0
CF-ST-1525,2026-03-18,CA,7,283.38,102.49,78.57,11.14,4,0
CF-ST-1525,2026-03-21,CA,1,120.16,49.97,129.0,0.0,0,0
CF-ST-1525,2026-03-23,CA,3,108.0,37.01,64.0,5.0,0,0
CF-ST-1525,2026-03-27,CA,2,62.22,25.8,50.0,0.0,0,0
CF-ST-1525,2026-03-28,CA,2,83.97,26.12,61.0,16.0,0,0
CF-ST-1525,2026-03-29,CA,3,243.41,57.35,111.33,1.67,0,0
CF-ST-1531,2026-02-13,CA,2,48.1,14.8,54.5,0.5,0,0
CF-ST-1531,2026-02-19,CA,2,82.09,25.42,67.0,0.0,0,0
CF-ST-1531,2026-02-20,CA,1,43.45,14.64,55.0,0.0,0,0
CF-ST-1531,2026-02-22,CA,2,133.88,34.81,96.5,0.0,0,0
CF-ST-1531,2026-02-23,CA,1,112.11,22.79,119.0,0.0,0,0
CF-ST-1531,2026-02-25,CA,1,78.06,26.01,98.0,35.0,1,0
CF-ST-1531,2026-02-27,CA,1,15.79,3.16,21.0,0.0,0,0
CF-ST-1531,2026-03-02,CA,1,56.76,15.57,98.0,28.0,1,0
CF-ST-1531,2026-03-03,CA,1,45.28,8.49,127.0,9.0,0,0
CF-ST-1531,2026-03-05,CA,1,50.98,11.55,85.0,0.0,0,0
CF-ST-1531,2026-03-07,CA,2,79.26,18.79,75.0,1.5,1,0
CF-ST-1531,2026-03-08,CA,1,72.57,31.43,100.0,0.0,0,0
CF-ST-1531,2026-03-10,CA,4,231.86,72.0,96.5,17.5,1,0
CF-ST-1531,2026-03-19,CA,1,29.86,5.63,51.0,0.0,0,0
CF-ST-1531,2026-03-20,CA,1,55.8,13.49,67.0,0.0,0,0
CF-ST-1531,2026-03-24,CA,2,125.84,33.84,93.0,11.5,0,0
CF-ST-1531,2026-03-29,CA,1,43.24,14.28,47.0,0.0,0,0
CF-ST-1531,2026-03-31,CA,1,35.51,9.88,41.0,24.0,1,0
CF-ST-1552,2026-02-13,CA,1,27.89,6.47,59.0,0.0,0,0
CF-ST-1552,2026-02-14,CA,1,37.26,9.33,79.0,17.0,0,0
CF-ST-1552,2026-02-15,CA,1,73.97,14.25,123.0,32.0,0,0
CF-ST-1552,2026-02-16,CA,2,57.87,17.5,58.0,5.5,1,0
CF-ST-1552,2026-02-17,CA,2,86.76,26.68,69.0,3.0,1,0
CF-ST-1552,2026-02-18,CA,2,61.24,14.99,71.0,0.0,0,0
CF-ST-1552,2026-02-19,CA,1,15.29,3.6,42.0,7.0,0,0
CF-ST-1552,2026-02-20,CA,1,28.05,8.2,61.0,0.0,0,0
CF-ST-1552,2026-02-21,CA,1,26.63,5.3,52.0,0.0,0,0
CF-ST-1552,2026-02-22,CA,1,72.39,30.71,77.0,0.0,0,0
CF-ST-1552,2026-02-25,CA,1,74.44,24.35,106.0,0.0,0,0
CF-ST-1552,2026-02-26,CA,2,208.28,80.36,122.0,7.5,1,0
CF-ST-1552,2026-02-27,CA,1,32.38,8.18,36.0,0.0,0,0
CF-ST-1552,2026-02-28,CA,2,88.84,28.29,77.5,17.5,1,0
CF-ST-1552,2026-03-03,CA,3,169.65,46.72,86.33,6.33,1,0
CF-ST-1552,2026-03-04,CA,1,44.04,14.09,50.0,22.0,1,0
CF-ST-1552,2026-03-05,CA,2,51.62,10.02,35.0,14.5,0,0
CF-ST-1552,2026-03-09,CA,1,120.27,44.48,128.0,21.0,0,0
CF-ST-1552,2026-03-11,CA,1,90.37,27.4,117.0,0.0,0,0
CF-ST-1552,2026-03-12,CA,2,69.49,16.56,44.0,2.0,0,0
CF-ST-1552,2026-03-14,CA,2,133.77,47.75,90.0,0.0,0,0
CF-ST-1552,2026-03-17,CA,1,72.42,34.16,133.0,12.0,0,0
CF-ST-1552,2026-03-18,CA,1,45.68,10.22,67.0,0.0,0,0
CF-ST-1552,2026-03-22,CA,2,201.68,86.86,126.0,1.5,1,0
CF-ST-1552,2026-03-23,CA,2,135.47,48.44,109.5,15.5,1,0
